,year,team,age,G,PA,AB,R,HIT,HIT_2,HIT_3,HOME_RUN,BASE,RBI,SB,CS,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC,WAR,Name,Unnamed: 0.1
1,1, SK,21,2,4,4,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0, 0.500, 0.500, 0.500, 1.000, 0.466, 192.0, 0.06,김강민,1.0
2,2, SK,22,23,29,25,4,3,1,0,1,7,2,2,1,0,0,7,1,1,0, 0.120, 0.214, 0.280, 0.494, 0.223, 18.9, -0.13,김강민,2.0
3,3, SK,23,23,48,40,6,9,1,0,0,10,3,2,3,0,0,9,0,4,0, 0.225, 0.296, 0.250, 0.546, 0.244, 37.8, -0.18,김강민,3.0
4,4, SK,24,96,166,145,20,40,9,1,1,54,14,8,5,1,1,30,3,5,1, 0.276, 0.342, 0.372, 0.714, 0.324, 103.3, 0.67,김강민,4.0
5,5, SK,25,124,374,334,51,81,10,3,4,109,18,19,10,6,0,57,6,5,1, 0.243, 0.312, 0.326, 0.638, 0.301, 78.6, 1.18,김강민,5.0
6,6, SK,26,106,295,258,38,70,16,3,3,101,32,16,8,6,0,46,2,5,0, 0.271, 0.352, 0.391, 0.743, 0.346, 107.5, 1.96,김강민,6.0
7,7, SK,27,104,382,341,48,91,18,3,12,151,42,10,7,5,1,67,7,11,1, 0.267, 0.324, 0.443, 0.766, 0.330, 86.4, 1.34,김강민,7.0
8,8, SK,28,115,450,401,74,127,19,2,10,180,72,23,9,2,0,51,5,11,3, 0.317, 0.369, 0.449, 0.818, 0.365, 115.3, 3.43,김강민,8.0
9,9, SK,29,80,310,281,37,79,14,1,8,119,33,9,4,2,1,56,3,5,2, 0.281, 0.331, 0.423, 0.755, 0.343, 105.0, 1.90,김강민,9.0
10,10, SK,30,123,474,427,49,116,20,0,5,151,31,11,10,4,0,72,7,11,3, 0.272, 0.322, 0.354, 0.675, 0.314, 92.6, 1.88,김강민,10.0
11,11, SK,31,105,397,352,39,106,22,3,10,164,55,10,6,4,2,54,10,2,3, 0.301, 0.370, 0.466, 0.836, 0.382, 127.0, 3.35,김강민,11.0
12,12, SK,32,113,483,430,86,130,29,3,16,213,82,32,5,4,0,91,12,2,4, 0.302, 0.368, 0.495, 0.863, 0.380, 117.3, 4.05,김강민,12.0
13,13, SK,33,96,328,293,43,72,17,0,4,101,31,7,4,7,0,83,6,4,1, 0.246, 0.315, 0.345, 0.660, 0.302, 72.9, 1.03,김강민,13.0
14,14, SK,34,115,422,366,59,109,21,0,10,160,47,12,5,12,2,89,5,10,2, 0.298, 0.371, 0.437, 0.809, 0.360, 100.7, 2.19,김강민,14.0
15,15, SK,35,88,203,183,31,40,5,1,5,62,18,10,4,5,0,50,3,0,0, 0.219, 0.296, 0.339, 0.634, 0.290, 61.2, 0.02,김강민,15.0
16,16, SK,36,80,267,235,40,70,14,0,14,126,46,10,6,5,0,57,1,5,0, 0.298, 0.370, 0.536, 0.906, 0.381, 119.1, 1.71,김강민,16.0
17,17, SK,37,127,460,422,54,114,14,2,8,156,50,15,8,4,3,103,2,0,3, 0.270, 0.324, 0.370, 0.694, 0.321, 90.9, 1.65,김강민,17.0
18,18, SK,38,122,327,289,39,73,11,1,12,122,45,7,5,4,2,62,10,5,2, 0.253, 0.323, 0.422, 0.745, 0.329, 88.0, ,김강민,18.0
19,19, SSG,39,122,260,223,43,53,12,1,8,91,27,3,3,6,1,52,3,3,3, 0.238, 0.327, 0.408, 0.735, 0.336, 95.1, 0.88,김강민,19.0
20,20, SSG,40,32,87,78,8,23,6,0,0,29,7,1,3,1,0,12,1,0,1, 0.295, 0.356, 0.372, 0.728, 0.343, 118.5, 0.44,김강민,20.0
0,0.0, 태평양,22,120,476,414,50,118,29,1,10,179,68,7,5,6,4,37,17,0,6, 0.285, 0.366, 0.432, 0.798, 0.372, 128.0,2.84,김경기,0.0
1,1.0, 태평양,23,109,431,392,42,114,25,4,8,171,59,5,6,3,5,39,7,0,6, 0.291, 0.341, 0.436, 0.777, 0.353, 116.5,2.0,김경기,1.0
2,2.0, 태평양,24,126,509,465,57,118,21,2,21,206,65,1,3,2,6,62,12,0,3, 0.254, 0.312, 0.443, 0.755, 0.335, 98.8,1.21,김경기,2.0
3,3.0, 태평양,25,86,351,318,28,89,14,0,8,127,49,2,2,4,4,37,15,1,1, 0.280, 0.343, 0.399, 0.742, 0.346, 125.4,1.81,김경기,3.0
4,4.0, 태평양,26,124,498,433,68,120,19,3,23,214,70,3,2,7,6,68,9,0,2, 0.277, 0.368, 0.494, 0.862, 0.389, 147.8,4.25,김경기,4.0
5,5.0, 태평양,27,96,398,356,52,105,19,1,12,162,46,4,1,4,5,51,5,0,0, 0.295, 0.369, 0.455, 0.824, 0.373, 142.3,3.14,김경기,5.0
6,6.0, 현대,28,115,472,412,54,113,16,1,20,191,64,6,4,7,1,82,6,0,3, 0.274, 0.360, 0.464, 0.824, 0.377, 141.9,3.64,김경기,6.0
7,7.0, 현대,29,91,366,311,36,79,21,0,6,118,51,6,4,7,1,55,15,2,4, 0.254, 0.352, 0.379, 0.731, 0.336, 108.6,1.28,김경기,7.0
8,8.0, 현대,30,126,493,431,62,118,25,0,18,197,59,5,6,12,3,79,11,4,3, 0.274, 0.354, 0.457, 0.811, 0.358, 124.9,3.88,김경기,8.0
9,9.0, 현대,31,92,308,264,37,73,11,1,6,104,37,1,4,5,2,60,8,1,3, 0.277, 0.368, 0.394, 0.762, 0.344, 99.3,0.65,김경기,9.0
10,10.0, 현대|SK,32,49,177,142,19,40,5,0,4,57,21,2,2,4,0,24,4,2,0, 0.282, 0.417, 0.401, 0.819, 0.378, 125.1,0.95,김경기,10.0
11,11.0, 현대,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , ,0.0,김경기,11.0
12,12.0, SK,32,49,177,142,19,40,5,0,4,57,21,2,2,4,0,24,4,2,0, 0.282, 0.417, 0.401, 0.819, 0.378, 125.1,0.95,김경기,12.0
13,13.0, SK,33,48,97,82,10,19,1,0,2,26,9,0,0,4,0,21,2,0,1, 0.232, 0.340, 0.317, 0.657, 0.317, 78.5,-0.0,김경기,13.0
0,0.0, OB,23,83,173,151,18,37,7,1,2,52,21,4,4,1,0,25,3,3,5,0.245,0.29600000000000004,0.344,0.64,0.29100000000000004,79.9,0.47,김광림,0.0
1,1.0, OB,24,91,179,165,23,51,4,0,1,58,15,9,9,0,0,14,0,5,2,0.309,0.33299999999999996,0.35200000000000004,0.685,0.314,92.1,0.67,김광림,1.0
2,2.0, OB,25,101,307,256,21,63,10,0,1,76,23,6,10,1,3,25,3,17,2,0.24600000000000002,0.32299999999999995,0.297,0.62,0.27899999999999997,73.7,0.44,김광림,2.0
3,3.0, OB,26,102,398,342,59,112,9,7,2,141,17,13,8,2,1,24,2,10,1,0.327,0.40299999999999997,0.41200000000000003,0.815,0.37799999999999995,136.6,4.06,김광림,3.0
4,4.0, OB,27,101,355,311,45,97,21,4,2,132,28,8,8,1,2,31,3,11,2,0.312,0.3720000000000001,0.424,0.797,0.35700000000000004,121.2,2.76,김광림,4.0
5,5.0, OB,28,72,235,211,29,58,6,5,1,77,13,14,4,0,1,22,3,4,1,0.275,0.33299999999999996,0.365,0.698,0.327,99.4,1.51,김광림,5.0
6,6.0, OB,29,82,217,188,16,31,6,3,1,46,21,1,4,1,1,26,4,6,2,0.165,0.24600000000000002,0.245,0.491,0.23199999999999998,31.2,-0.74,김광림,6.0
7,7.0, OB,30,108,413,361,49,111,19,6,3,151,36,20,6,1,1,46,4,12,2,0.307,0.3720000000000001,0.418,0.79,0.35700000000000004,119.8,3.63,김광림,7.0
8,8.0, OB,31,119,427,383,45,110,16,3,1,135,31,13,6,3,2,38,2,6,4,0.287,0.341,0.35200000000000004,0.693,0.318,87.1,1.75,김광림,8.0
9,9.0, OB,32,117,492,430,49,129,18,3,3,162,32,13,8,2,5,34,3,15,5,0.3,0.359,0.377,0.735,0.33399999999999996,117.1,3.67,김광림,9.0
10,10.0, 쌍방울,33,119,444,388,56,93,15,4,4,128,31,20,7,1,0,49,5,15,0,0.24,0.311,0.33,0.6409999999999999,0.292,81.5,1.72,김광림,10.0
11,11.0, 쌍방울,34,119,489,419,60,141,17,1,7,181,49,16,10,5,3,37,8,11,6,0.337,0.406,0.4320000000000001,0.838,0.376,143.9,5.06,김광림,11.0
12,12.0, 쌍방울,35,126,509,449,69,136,19,6,2,173,49,15,4,3,1,63,8,7,3,0.303,0.368,0.385,0.753,0.34600000000000003,120.1,4.38,김광림,12.0
13,13.0, 쌍방울|현대,36,117,396,346,43,101,14,5,2,131,32,9,9,1,1,44,3,6,3,0.292,0.363,0.379,0.741,0.337,109.1,2.51,김광림,13.0
14,14.0, 현대,36,78,308,272,36,81,10,4,2,105,27,8,6,1,1,38,2,3,1,0.298,0.368,0.386,0.755,0.344,114.5,2.11,김광림,14.0
15,15.0, 쌍방울,36,39,88,74,7,20,4,1,0,26,5,1,3,0,0,6,1,3,2,0.27,0.341,0.35100000000000003,0.693,0.31,90.4,0.28,김광림,15.0
16,16.0, 현대,37,102,266,216,26,55,8,2,3,76,21,4,3,2,2,37,4,16,1,0.255,0.34700000000000003,0.35200000000000004,0.6990000000000001,0.299,83.7,0.45,김광림,16.0
17,17.0, 쌍방울,38,71,162,144,11,33,5,0,0,38,12,5,1,1,1,22,3,1,2,0.22899999999999998,0.298,0.264,0.562,0.263,45.1,-0.19,김광림,17.0
0,0, 쌍방울,22,124,508,427,65,112,15,0,27,208,92,7,4,4,5,93,9,0,5,0.262,0.37,0.48700000000000004,0.857,0.387,138.4,3.75,김기태,0.0
1,1, 쌍방울,23,123,525,398,86,120,28,3,31,247,96,5,7,8,18,84,11,0,5,0.302,0.461,0.621,1.082,0.46299999999999997,183.7,6.63,김기태,1.0
2,2, 쌍방울,24,96,395,317,36,76,17,2,9,124,43,11,5,1,8,57,7,0,4,0.24,0.38,0.391,0.7709999999999999,0.36,135.1,2.78,김기태,2.0
3,3, 쌍방울,25,108,454,376,70,119,20,4,25,222,79,9,10,2,13,70,10,0,2,0.316,0.43,0.59,1.02,0.449,191.2,6.07,김기태,3.0
4,4, 쌍방울,26,116,482,402,48,129,34,3,12,205,72,12,10,1,15,44,8,0,7,0.321,0.419,0.51,0.929,0.409,166.9,5.02,김기태,4.0
